Dự án/ khu,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Số phòng ngủ,Số toilet,dudoan_RF,Mã quận huyện,Mã xã phường,Mã đường phố,Mã dự án
Times City - Park Hill,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,119.0,6.7,3.0,2.0,6.870850000000003,4,131,112,433
Seasons Avenue,Không có,Mỗ Lao,Hà Đông,80.0,2.95,2.0,2.0,2.6689849999999997,8,57,72,355
Times City,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,82.0,4.55,2.0,2.0,4.145470000000001,4,131,112,432
Không có,Giải Phóng,Giáp Bát,Hoàng Mai,50.0,0.644,2.0,1.0,0.8093300000000001,7,22,39,221
Không có,Trương Định,Tương Mai,Hoàng Mai,55.0,0.84,2.0,1.0,0.8932600000000014,7,127,204,221
Resco Cổ Nhuế,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,65.0,2.25,2.0,2.0,2.267048333333332,1,15,176,341
Green Stars,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,102.0,3.7,3.0,2.0,3.7471666666666614,1,14,176,153
HH2 Linh Đàm,Không có,Hoàng Liệt,Hoàng Mai,76.27,1.95,3.0,2.0,1.9340550000000016,7,26,72,156
Kim Văn Kim Lũ,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,76.0,2.6,2.0,2.0,2.610956666666669,7,159,119,222
Ecohome Phúc Lợi,Không có,Phúc Lợi,Long Biên,68.0,1.83,2.0,2.0,1.7383762373737368,9,82,72,114
Rivera Park Hà Nội,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,72.0,3.8,2.0,2.0,3.6322666666666685,13,102,253,343
Eco City Việt Hưng,Không có,Giang Biên,Long Biên,72.84,2.5,2.0,2.0,2.4717000000000007,9,20,72,108
Home City - Trung Kính Complex,Trung Kính,Yên Hòa,Cầu Giấy,85.17,3.41,2.45452528837622,1.933083511777302,3.686200000000004,2,145,201,176
Green Park Trần Thủ Độ,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,74.0,2.07,2.0,2.0,2.290122499999998,7,26,219,151
Green Pearl 378 Minh Khai,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,88.0,4.6,3.0,2.0,4.437949999999995,4,131,112,152
Mandarin Garden 2,Trương Định,Tân Mai,Hoàng Mai,130.0,6.3,3.0,2.0,5.39854458874459,7,124,204,261
Tây Hồ Residence,Võ Chí Công,Xuân La,Tây Hồ,85.0,4.7,3.0,2.0,4.154991666666663,16,141,240,446
Ecolife Capitol,Tố Hữu,Trung Văn,Nam Từ Liêm,75.0,2.8,2.0,1.933083511777302,2.873800000000004,11,117,235,115
Không có,Hoàng Hoa Thám,Ngọc Hà,Ba Đình,52.0,0.655,2.0,1.0,0.7963100000000007,0,68,43,221
Indochina Plaza,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,145.0,7.5,3.0,1.933083511777302,7.608460000000001,2,19,260,202
Mandarin Garden 2,Trương Định,Tân Mai,Hoàng Mai,83.0,3.8,2.0,2.0,3.762500000000004,7,124,204,261
N01-T7 Ngoại Giao Đoàn,Không có,Xuân Tảo,Bắc Từ Liêm,101.0,5.5,3.0,2.0,5.234666666666665,1,143,72,282
Heritage West Lake,Lạc Long Quân,Phú Thượng,Tây Hồ,95.0,9.0,2.45452528837622,1.933083511777302,9.321944444444444,16,79,107,173
Green Pearl 378 Minh Khai,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,74.0,3.7,2.0,2.0,3.5950549999999963,4,131,112,152
D’. Le Roi Soleil ,Xuân Diệu,Quảng An,Tây Hồ,88.0,5.6,2.0,2.0,5.60893333333334,16,94,258,106
Green Pearl 378 Minh Khai,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,97.0,6.0,2.45452528837622,1.933083511777302,5.663200000000001,4,131,112,152
Five Star Kim Giang,Kim Giang,Kim Giang,Thanh Xuân,77.0,2.95,2.0,2.0,3.1101999999999963,13,37,76,126
Mỹ Đình I,Nguyễn Cơ Thạch,Mỹ Đình 1,Nam Từ Liêm,65.0,2.2,2.0,1.0,2.46490833333333,11,58,127,273
Không có,Bùi Xương Trạch,Khương Đình,Thanh Xuân,51.0,1.19,2.0,2.0,1.1189433333333323,13,35,10,221
Trung Hòa Nhân Chính,Không có,Không có,Cầu Giấy,150.0,4.6,2.0,2.0,5.1225750000000065,2,30,72,437
Không có,Thái Hà,Trung Liệt,Đống Đa,35.0,0.65,1.0,1.0,0.6552999999999994,19,114,191,221
Heritage West Lake,Lạc Long Quân,Phú Thượng,Tây Hồ,93.0,9.6,2.0,2.0,9.643430158730162,16,79,107,173
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,60.0,1.5,2.0,1.0,1.5214112077172914,3,17,72,475
Imperia Sky Garden,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,82.0,4.2,2.0,2.0,3.86963106060606,4,131,112,199
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,32.0,0.89,1.0,1.0,0.8929575000000004,3,17,72,475
Mailand Hanoi City,Đại lộ Thăng Long,An Khánh,Hoài Đức,128.0,3.71,3.0,2.0,4.453466666666662,5,0,283,259
Imperia Smart City,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,65.0,2.65,3.0,2.0,2.854300000000001,11,126,283,200
The Two Residence - Gamuda Garden,Pháp Vân,Yên Sở,Hoàng Mai,55.0,1.7,1.0,1.933083511777302,2.4022450000000024,7,147,167,419
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,60.0,1.6,2.0,1.0,1.5214112077172914,3,17,72,475
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,68.0,1.7,2.0,2.0,1.7567583333333334,3,17,72,475
Việt Hưng,Không có,Đức Giang,Long Biên,73.0,1.84,2.0,2.0,1.8009583333333345,9,165,72,485
Việt Hưng,Không có,Đức Giang,Long Biên,75.0,1.7,2.0,2.0,1.7064333333333324,9,165,72,485
Mipec City View,Không có,Kiến Hưng,Hà Đông,57.0,1.65,2.0,2.0,1.7382205555555579,8,41,72,264
Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,30.0,1.2,1.0,1.0,1.1959083333333345,11,126,72,477
Chung cư 789 Xuân Đỉnh,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,74.1,3.0,2.0,2.0,3.0646000000000004,1,144,261,75
Không có,Trần Quốc Hoàn,Nghĩa Đô,Cầu Giấy,70.0,1.8,2.0,2.0,2.2132200000000024,2,63,217,221
187 Tây Sơn,Nguyễn Lương Bằng,Nam Đồng,Đống Đa,136.0,6.5,4.0,2.0,6.412699999999997,19,60,137,6
Thành Phố Giao Lưu,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,88.0,2.8,3.0,1.933083511777302,3.298500000000003,1,14,176,425
Harmony Square,Nguyễn Tuân,Nhân Chính,Thanh Xuân,123.0,4.5,3.0,1.933083511777302,4.820116666666667,13,71,146,166
Imperia Sky Garden,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,91.0,4.15,3.0,1.933083511777302,4.192666666666662,4,131,112,199
HH2 Linh Đàm,Nguyễn Phan Chánh,Hoàng Liệt,Hoàng Mai,67.0,1.55,2.0,2.0,1.6708000000000007,7,26,139,156
Green Stars,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,60.2,2.55,2.0,2.0,2.4991000000000017,1,14,176,153
The Terra An Hưng,Nguyễn Thanh Bình,Dương Nội,Hà Đông,140.0,5.1,4.0,3.0,5.1168000000000085,8,16,143,417
HC Golden City,Hồng Tiến,Bồ Đề,Long Biên,72.0,2.87,2.0,2.0,2.8448000000000024,9,8,67,154
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,121.0,4.0,3.0,2.0,4.410500000000001,1,76,64,144
The Terra An Hưng,Tố Hữu,Dương Nội,Hà Đông,74.0,2.8,2.0,2.0,2.7118403968253997,8,16,235,417
Indochina Plaza,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,117.0,5.3,3.0,1.933083511777302,5.282500000000006,2,19,260,202
The Link 345-CT1,Không có,Đông Ngạc,Bắc Từ Liêm,107.0,5.2,3.0,1.933083511777302,5.1599399999999935,1,155,72,404
Indochina Plaza,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,113.0,5.0,3.0,2.0,5.275416428571431,2,19,260,202
Vinata Tower,Khuất Duy Tiến,Trung Hòa,Cầu Giấy,87.2,3.9,3.0,2.0,3.9830000000000023,2,113,70,469
Indochina Plaza,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,98.0,5.0,2.45452528837622,1.933083511777302,4.96047142857143,2,19,260,202
Sun Grand City,Thụy Khuê,Thụy Khuê,Tây Hồ,60.0,4.2,1.0,1.0,3.6685299999999956,16,112,198,370
Park Kiara,Lê Trọng Tấn,La Khê,Hà Đông,60.0,3.0,2.45452528837622,1.933083511777302,2.9804399999999993,8,42,93,331
The Terra An Hưng,Không có,Dương Nội,Hà Đông,90.0,3.3,3.0,2.0,3.367709722222221,8,16,72,417
671 Hoàng Hoa Thám,Hoàng Hoa Thám,Liễu Giai,Ba Đình,112.0,4.9,2.0,1.933083511777302,6.216379999999991,0,45,43,19
Indochina Plaza,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,117.0,5.0,3.0,2.0,5.201699999999997,2,19,260,202
Vinhomes West Point,Phạm Hùng,Mễ Trì,Nam Từ Liêm,112.0,4.8,3.0,2.0,5.136500000000005,11,56,173,482
Lancaster Hà Nội,Núi Trúc,Giảng Võ,Ba Đình,128.0,9.0,3.0,1.933083511777302,8.739,0,21,164,242
Heritage West Lake,Lạc Long Quân,Phú Thượng,Tây Hồ,58.0,3.42,1.0,1.933083511777302,3.1301083333333315,16,79,107,173
One 18 Ngọc Lâm,Ngọc Lâm,Ngọc Lâm,Long Biên,120.0,3.6,3.0,1.933083511777302,4.973400000000002,9,69,160,324
The Miami,Không có,Tây Mỗ,Nam Từ Liêm,102.0,4.1,3.0,2.0,4.1082507142857185,11,126,72,407
Hà Nội Aqua Central,Yên Phụ,Trúc Bạch,Ba Đình,120.0,11.0,3.0,2.0,10.801760000000002,0,118,266,181
N01-T1 Ngoại Giao Đoàn,Không có,Xuân Đỉnh,Bắc Từ Liêm,102.0,4.65,3.0,2.0,5.319099999999995,1,144,72,279
Green Stars,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,102.0,4.1,3.0,1.933083511777302,4.150683333333331,1,14,176,153
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,47.0,1.2,1.0,1.0,1.2187997537185031,3,17,72,475
Heritage West Lake,Lạc Long Quân,Phú Thượng,Tây Hồ,93.0,9.6,2.0,2.0,9.643430158730162,16,79,107,173
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,80.0,2.95,2.0,2.0,2.758628015873013,12,125,151,110
Mailand Hanoi City,Đại lộ Thăng Long,An Khánh,Hoài Đức,109.0,3.16,3.0,1.933083511777302,3.4383666666666675,5,0,283,259
Dolphin Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,72.0,3.3,2.0,2.0,3.197750000000003,11,59,206,99
Watermark Tây Hồ,Lạc Long Quân,Nghĩa Đô,Cầu Giấy,78.0,4.1,2.0,1.933083511777302,3.6417227272727293,2,63,107,491
Diamond Park Plaza ,Láng Hạ,Thành Công,Ba Đình,125.0,11.0,3.0,1.933083511777302,10.781660000000002,0,103,88,96
Eco City Việt Hưng,Không có,Giang Biên,Long Biên,86.0,3.3,3.0,2.0,3.3066866666666717,9,20,72,108
Văn Khê,Không có,La Khê,Hà Đông,101.0,2.1,3.0,2.0,2.329916666666667,8,42,72,487
Vinhomes D'Capitale,Trần Duy Hưng,Trung Hòa,Cầu Giấy,76.0,4.0,2.45452528837622,1.933083511777302,4.0,2,113,208,470
Vinhomes D'Capitale,Trần Duy Hưng,Trung Hòa,Cầu Giấy,71.0,4.1,2.0,2.0,4.17305,2,113,208,470
Bea Sky,Không có,Không có,Hoàng Mai,86.0,3.8,3.0,2.0,3.5614500000000033,7,30,72,45
ĐTM Dịch Vọng,Thành Thái,Dịch Vọng,Cầu Giấy,175.0,6.3,4.0,3.0,6.532499999999995,2,18,190,501
Five Star Kim Giang,Kim Giang,Kim Giang,Thanh Xuân,85.0,3.6,3.0,2.0,3.6506666666666687,13,37,76,126
The Zei Mỹ Đình,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,94.0,4.4,2.0,2.0,4.639499999999994,11,59,98,421
Five Star Kim Giang,Kim Giang,Kim Giang,Thanh Xuân,75.0,2.95,2.0,2.0,3.027941666666665,13,37,76,126
Vinhomes D'Capitale,Trần Duy Hưng,Trung Hòa,Cầu Giấy,76.0,4.0,2.45452528837622,1.933083511777302,4.0,2,113,208,470
C37 Bộ Công An - Bắc Hà Tower,Tố Hữu,Trung Văn,Nam Từ Liêm,95.0,3.2,3.0,2.0,3.2549499999999973,11,117,235,54
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,107.0,4.6,3.0,2.0,4.857300000000006,11,12,54,471
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,95.0,3.75,3.0,2.0,3.61996666666667,12,125,151,110
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,150.0,5.6,2.45452528837622,1.933083511777302,5.519900000000007,12,125,151,110
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,75.0,2.7,2.0,2.0,2.7014365873015875,12,125,151,110
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,67.0,2.55,2.0,2.0,2.4890576552896433,12,125,151,110
Hope Residence,Chu Huy Mân,Phúc Đồng,Long Biên,55.0,1.6,2.0,1.933083511777302,2.0052883333333322,9,83,15,178
Xuân Mai Complex,Tố Hữu,Yên Nghĩa,Hà Đông,58.0,1.5,2.0,1.0,1.559166666666667,8,146,235,493
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,67.0,2.3,2.0,2.0,2.4890576552896433,12,125,151,110
Iris Garden,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,135.0,4.8,3.0,2.0,4.662038501776003,11,56,210,206
Vinhomes Metropolis - Liễu Giai,Liễu Giai,Ngọc Khánh,Ba Đình,50.0,4.6,1.0,1.0,2.1092850000000007,0,65,85,473
The Zei Mỹ Đình,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,92.0,4.5,2.0,2.0,4.550999999999998,11,59,98,421
Ciputra Hà Nội,Nguyễn Hoàng Tôn,Phú Thượng,Tây Hồ,117.0,4.1,3.0,2.0,4.258400000000003,16,79,131,88
Kim Văn Kim Lũ,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,82.0,3.43,2.0,2.0,3.3508000000000053,7,159,119,222
Sunshine Center,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,153.2,7.2,2.45452528837622,1.933083511777302,6.463766666666669,11,59,173,373
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,98.0,4.4,3.0,2.0,3.4951428571428576,3,17,72,475
An Lạc Green Symphony,Không có,Không có,Hoài Đức,67.0,2.5,2.0,2.0,2.5605400000000005,5,30,72,30
Oriental Westlake,Lạc Long Quân,Bưởi,Tây Hồ,78.0,4.15,2.0,2.0,3.914374999999996,16,5,107,325
PentStudio,Lạc Long Quân,Phú Thượng,Tây Hồ,76.0,5.3,1.0,2.0,5.010500000000007,16,79,107,335
PentStudio,Lạc Long Quân,Phú Thượng,Tây Hồ,150.0,10.5,2.0,3.0,9.23635,16,79,107,335
Udic Westlake,Võ Chí Công,Phú Thượng,Tây Hồ,116.0,4.7,3.0,2.0,4.697174285714279,16,79,240,454
Hateco Laroma,Không có,Láng Thượng,Đống Đa,113.0,8.3,3.0,2.0,8.169499999999996,19,44,72,169
Hateco Laroma,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,113.0,8.1,3.0,2.0,8.200600000000009,19,44,51,169
Hateco Laroma,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,81.0,6.8,2.0,2.0,6.610099999999997,19,44,51,169
Moonlight 1 - An Lạc Green Symphony,Không có,An Khánh,Hoài Đức,66.0,2.5,2.0,2.0,2.490052142857142,5,0,72,269
Moonlight I - An Lạc Green Symphony,Không có,An Khánh,Hoài Đức,66.0,2.5,2.0,2.0,2.5397199999999995,5,0,72,270
Thống Nhất Complex,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,90.0,3.9,3.0,2.0,4.127499999999996,13,102,146,431
HC Golden City,Không có,Bồ Đề,Long Biên,82.0,3.55,3.0,2.0,3.6469697619047667,9,8,72,154
HH1 Linh Đàm,Linh Đường,Hoàng Liệt,Hoàng Mai,46.0,1.07,1.0,1.0,1.1291799999999983,7,26,84,155
Green Pearl 378 Minh Khai,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,75.0,3.8,2.0,1.933083511777302,3.6967200000000036,4,131,112,152
N05 Trần Duy Hưng,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,162.0,6.64,3.0,3.0,6.716419999999994,2,113,50,294
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,103.0,5.0,3.0,2.0,5.023841666666667,13,102,146,135
Vinhomes Symphony Riverside,Không có,Việt Hưng,Long Biên,126.0,6.7,4.0,3.0,6.226562500000001,9,132,72,480
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,89.0,4.8,3.0,2.0,4.676250000000007,13,102,146,135
Park Kiara,Lê Trọng Tấn,La Khê,Hà Đông,60.0,3.1,2.0,1.0,3.140779761904759,8,42,93,331
Grand Sunlake,Không có,Không có,Hà Đông,96.0,3.17,3.0,1.933083511777302,3.3180000000000005,8,30,72,145
Khu nhà ở 183 Hoàng Văn Thái,Hoàng Văn Thái,Khương Trung,Thanh Xuân,78.5,2.98,2.0,2.0,3.0741428571428564,13,34,48,214
Times City - Park Hill,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,78.0,4.2,2.0,2.0,4.259999999999995,4,131,112,433
N05 Trần Duy Hưng,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,181.0,7.78,3.0,3.0,7.797833333333321,2,113,50,294
Vinhomes Times City - Park Hill,Không có,Không có,Hai Bà Trưng,106.0,6.2,3.0,2.0,5.344819999999994,4,30,72,481
Golden Palace,Mễ Trì,Mễ Trì,Nam Từ Liêm,118.0,4.01,3.0,2.0,3.531621372687769,11,56,115,140
Sudico Mỹ Đình,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,110.0,4.0,3.0,2.0,3.9645000000000064,11,58,173,368
Roman Plaza,Tố Hữu,Đại Mỗ,Nam Từ Liêm,69.0,2.8,2.0,1.933083511777302,2.8044800000000025,11,160,235,346
137,Nguyễn Ngọc Vũ,Trung Hòa,Cầu Giấy,80.0,2.9,2.0,2.0,3.010359999999999,2,113,138,2
Times City,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,83.0,3.75,2.0,2.0,3.8862900000000007,4,131,112,432
Vimeco II - Nguyễn Chánh,Nguyễn Chánh,Trung Hòa,Cầu Giấy,133.0,4.92,3.0,2.0,5.131200000000003,2,113,124,466
CT4 Vimeco II,Nguyễn Chánh,Trung Hòa,Cầu Giấy,105.0,4.0,2.0,2.0,4.133233333333334,2,113,124,64
Phương Đông Green Home,Việt Hưng,Đức Giang,Long Biên,81.4,2.9,3.0,2.0,2.872770000000001,9,165,237,339
GoldSilk Complex,Cầu Am,Vạn Phúc,Hà Đông,68.0,2.45,2.0,1.0,2.3020958333333312,8,140,23,136
Không có,Yên Phúc,Phúc La,Hà Đông,134.0,4.62,2.45452528837622,1.933083511777302,4.7085732142857175,8,81,265,221
Golden Palace,Mễ Trì,Mễ Trì,Nam Từ Liêm,118.0,3.5,3.0,1.933083511777302,3.8343826587301595,11,56,115,140
GoldSilk Complex,Cầu Am,Vạn Phúc,Hà Đông,135.0,3.65,3.0,2.0,3.9158063888888845,8,140,23,136
Rivera Park Hà Nội,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,70.0,3.5,2.0,2.0,3.5838702380952383,13,102,253,343
Tòa Tháp Thiên Niên Kỷ,Quang Trung,Yết Kiêu,Hà Đông,95.0,3.2,2.0,2.0,3.3219369047619036,8,148,179,450
Mipec City View,Không có,Không có,Hà Đông,61.5,1.7,2.0,2.0,1.901859999999998,8,30,72,264
Golden Land,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,116.0,3.9,3.0,2.0,4.948833333333334,13,102,145,138
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,75.0,2.8,2.0,2.0,2.7014365873015875,12,125,151,110
The Terra An Hưng,Không có,Dương Nội,Hà Đông,96.0,3.7,3.0,2.0,3.638524999999994,8,16,72,417
The Zei Mỹ Đình,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,104.0,6.0,3.0,2.0,5.734614285714287,11,59,98,421
KĐT Tây Hồ Tây - Starlake Hà Nội,Không có,Xuân La,Tây Hồ,98.0,7.95,2.0,1.933083511777302,6.374249999999996,16,141,72,231
Mipec Rubik 360,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,70.0,4.2,2.0,2.0,4.033635714285713,2,19,260,266
Trung Hòa Nhân Chính,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,140.0,4.9,3.0,2.0,4.888999999999996,2,113,50,437
Vinhomes Skylake,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,106.0,8.0,3.0,2.0,7.451333333333335,11,58,173,476
Ciputra Hà Nội,Lạc Long Quân,Phú Thượng,Tây Hồ,123.0,4.6,3.0,2.0,4.486249999999998,16,79,107,88
Legend Tower 109 Nguyễn Tuân,Nguyễn Tuân,Nhân Chính,Thanh Xuân,186.0,10.0,4.0,3.0,9.496666666666664,13,71,146,246
Dolphin Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,191.0,7.0,4.0,2.0,6.914066666666667,11,59,206,99
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,80.0,3.8,3.0,1.933083511777302,3.9469059523809547,13,102,146,135
Roman Plaza,Tố Hữu,Đại Mỗ,Nam Từ Liêm,102.0,4.0,3.0,3.0,4.040400000000002,11,160,235,346
The Golden Palm Lê Văn Lương,Lê Văn Lương,Nhân Chính,Thanh Xuân,66.0,3.0,2.45452528837622,1.933083511777302,3.0001666666666664,13,71,95,402
Riverside Garden,Vũ Tông Phan,Khương Đình,Thanh Xuân,65.0,2.6,2.0,2.0,2.8058309523809517,13,35,254,344
Dolphin Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,198.0,6.5,4.0,3.0,6.860080952380953,11,59,206,99
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,90.0,4.3,3.0,2.0,4.118730952380954,13,102,146,135
Sun Square,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,92.0,3.6,3.0,1.933083511777302,3.6633700000000045,11,59,98,372
Trung Hòa Nhân Chính,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,109.0,3.7,3.0,2.0,3.924233333333337,2,113,50,437
Trung Hòa Nhân Chính,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,117.0,3.65,2.0,2.0,3.788128174603175,2,113,50,437
Golden Land,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,145.0,5.3,3.0,2.0,7.6112166666666745,13,102,145,138
Tây Hồ River View,Thượng Thụy,Phú Thượng,Tây Hồ,92.0,3.85,3.0,2.0,4.310533333333337,16,79,194,447
Lancaster Hà Nội,Núi Trúc,Giảng Võ,Ba Đình,120.0,7.5,2.0,3.0,7.767499999999991,0,21,164,242
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,66.0,3.1,2.0,2.0,3.1243972402597393,13,102,146,135
Dolphin Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,186.0,6.0,4.0,3.0,6.237308333333335,11,59,206,99
Khai Sơn City,Không có,Thượng Thanh,Long Biên,78.0,2.89,2.0,2.0,2.839639999999995,9,106,72,210
Khai Sơn City,Không có,Ngọc Thụy,Long Biên,78.0,2.89,2.0,2.0,2.900799999999995,9,70,72,210
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,74.0,2.59,2.0,2.0,2.57157630952381,9,165,291,49
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,74.0,2.59,2.0,2.0,2.57157630952381,9,165,291,49
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,70.0,3.0,2.45452528837622,1.933083511777302,2.9654999999999996,13,102,146,135
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,74.0,2.59,2.0,2.0,2.57157630952381,9,165,291,49
KĐT Cổ Nhuế,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,83.0,2.95,2.0,1.933083511777302,3.1393399999999967,1,14,176,226
Lancaster Hà Nội,Núi Trúc,Giảng Võ,Ba Đình,139.0,9.0,3.0,2.0,8.634444999999998,0,21,164,242
Iris Garden,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,135.0,4.55,3.0,2.0,4.662038501776003,11,56,210,206
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,100.0,5.15,3.0,2.0,5.189811190476191,11,12,54,471
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,81.0,3.88,2.0,2.0,3.773969999999998,11,12,54,471
Golden Palace,Mễ Trì,Mễ Trì,Nam Từ Liêm,116.0,3.8,3.0,2.0,3.5989156679186833,11,56,115,140
Golden Palace,Mễ Trì,Mễ Trì,Nam Từ Liêm,105.0,3.0,2.0,1.933083511777302,3.2721999999999998,11,56,115,140
Toà nhà 93 Lò Đúc - Kinh Đô Tower,Không có,Không có,Hai Bà Trưng,98.0,4.61,2.0,2.0,4.5033500000000055,4,30,72,435
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,75.0,2.65,2.0,2.0,2.624570833333333,9,165,291,49
Tràng An Complex,Phùng Chí Kiên,Nghĩa Đô,Cầu Giấy,90.0,4.29,3.0,2.0,4.196700000000003,2,63,168,443
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,110.0,3.4,3.0,2.0,3.8519823953823957,1,76,64,144
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,95.0,3.95,3.0,2.0,3.535724999999995,9,165,291,49
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,75.0,2.65,2.0,2.0,2.624570833333333,9,165,291,49
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,84.0,2.5,2.0,1.933083511777302,2.661590238095237,1,76,64,144
Discovery Central,Không có,Không có,Ba Đình,55.0,3.5,1.0,1.0,3.76285,0,30,72,97
The Park Home,Thành Thái,Dịch Vọng,Cầu Giấy,125.0,7.69,2.45452528837622,1.933083511777302,7.587400000000014,2,18,190,410
Làng Việt Kiều Châu Âu Euroland,Không có,Mỗ Lao,Hà Đông,188.0,5.7,3.0,1.933083511777302,5.787466666666665,8,57,72,252
The Sakura - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,54.0,2.755,2.0,2.0,2.493702500000001,11,126,72,414
The Zenpark,Đông Dư,Dương Xá,Gia Lâm,41.2,1.75,1.0,1.0,1.713735547619048,3,17,277,423
