Dự án/ khu,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Số phòng ngủ,Số toilet,dudoan_RF,Mã quận huyện,Mã xã phường,Mã đường phố,Mã dự án
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,86.0,3.5,2.0,1.933083511777302,3.789764285714287,11,12,54,471
The Emerald,Đình Thôn,Mỹ Đình 1,Nam Từ Liêm,85.0,3.45,3.0,2.0,3.7356750000000045,11,58,275,397
An Lạc Green Symphony,Không có,Vân Canh,Hoài Đức,76.0,2.6,2.0,2.0,2.626874999999997,5,133,72,30
Mulberry Lane,Không có,Mỗ Lao,Hà Đông,137.0,4.6,3.0,2.0,4.942883333333339,8,57,72,271
The Tonkin - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,78.0,3.3,2.0,2.0,3.3135000000000048,11,126,72,418
The Tonkin - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,90.0,4.3,3.0,2.0,3.9760576190476224,11,126,72,418
Hyundai Hillstate,Tô Hiệu,Hà Cầu,Hà Đông,136.0,4.2,3.0,2.0,4.602942857142854,8,28,231,180
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,80.0,4.1,3.0,1.933083511777302,3.9469059523809547,13,102,146,135
The Tonkin - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,32.0,1.7,1.0,1.0,1.5304099999999996,11,126,72,418
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,43.0,1.33,1.0,1.0,1.4166692857142857,3,17,72,475
Udic Westlake,Võ Chí Công,Phú Thượng,Tây Hồ,168.0,6.8,3.0,2.0,6.692800000000003,16,79,240,454
Park View City,Vũ Phạm Hàm,Yên Hòa,Cầu Giấy,179.0,9.55,4.0,2.0,9.175983333333322,2,145,251,332
N05 Trần Duy Hưng,Trần Duy Hưng,Trung Hòa,Cầu Giấy,159.0,6.84,3.0,3.0,7.136099999999999,2,113,208,294
Riverside Garden,Vũ Tông Phan,Khương Đình,Thanh Xuân,90.0,4.05,3.0,2.0,4.040666666666671,13,35,254,344
Mandarin Garden,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,114.0,6.38,2.0,2.0,6.191236666666665,2,113,46,260
Sunshine Garden,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,100.0,3.8,3.0,2.0,3.8468000000000053,4,131,33,375
Sunshine Center,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,103.0,5.6,3.0,2.0,5.077100000000005,11,59,173,373
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,139.0,4.0,3.0,2.0,4.279949999999999,1,76,64,144
Mailand Hanoi City,Đại lộ Thăng Long,An Khánh,Hoài Đức,150.7,5.3,3.0,3.0,5.050850000000006,5,0,283,259
Osaka Complex,Không có,Không có,Hoàng Mai,70.9,2.25,2.0,2.0,2.105801312631811,7,30,72,326
BRG Diamond Residence,Lê Văn Lương,Nhân Chính,Thanh Xuân,104.6,5.8,3.0,2.0,6.0385166666666645,13,71,95,41
Không có,Thái Hà,Trung Liệt,Đống Đa,52.0,0.85,2.0,1.0,0.7841099999999999,19,115,191,221
KĐT Trung Văn - Vinaconex 3,Cương Kiên,Trung Văn,Nam Từ Liêm,72.0,2.6,2.0,1.933083511777302,2.8859499999999993,11,117,22,230
Chelsea Park,Không có,Không có,Cầu Giấy,100.0,4.4,3.0,2.0,4.112803333333335,2,30,72,69
The Manor,Không có,Không có,Nam Từ Liêm,100.0,6.2,2.0,2.0,5.758651666666666,11,30,72,405
Tháp doanh nhân Tower,Thanh Bình,Mỗ Lao,Hà Đông,70.0,1.2,2.0,2.0,1.5952635714285703,8,57,185,426
The Zenpark,Không có,Không có,Gia Lâm,76.0,2.75,2.0,2.0,2.472378571428571,3,30,72,423
Không có,Thái Hà,Trung Liệt,Đống Đa,50.0,0.65,2.45452528837622,1.933083511777302,0.9324400000000008,19,114,191,221
Golden Palace,Mễ Trì,Mễ Trì,Nam Từ Liêm,85.0,2.98,2.0,1.933083511777302,2.86904285714286,11,56,115,140
D’. Le Roi Soleil ,Xuân Diệu,Quảng An,Tây Hồ,146.0,9.8,3.0,1.933083511777302,9.637350000000001,16,94,258,106
Grand Sunlake,Trần Phú,Văn Quán,Hà Đông,95.0,3.4,3.0,1.933083511777302,3.4586333333333306,8,135,214,145
Nam Trung Yên,Mạc Thái Tổ,Trung Hòa,Cầu Giấy,56.3,1.95,2.0,1.0,1.930599999999999,2,113,113,298
Kim Văn Kim Lũ,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,82.0,3.43,2.0,2.0,3.3508000000000053,7,159,119,222
Hateco Laroma,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,103.0,7.0,3.0,2.0,7.019000000000003,19,50,51,169
Mandarin Garden,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,114.0,5.9,3.0,1.933083511777302,6.000368333333326,2,113,46,260
FLC Complex Phạm Hùng,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,45.0,1.5,2.0,2.0,1.5779733333333332,11,59,173,121
Imperia Smart City,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,43.0,1.8,2.0,1.0,1.7931880952380954,11,126,283,200
Sài Đồng,Không có,Sài Đồng,Long Biên,69.0,2.07,3.0,2.0,1.804483333333332,9,95,72,378
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,93.0,2.98,3.0,1.933083511777302,3.028050000000001,9,165,291,49
Vinhomes Green Bay Mễ Trì,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,58.0,2.5,2.0,2.0,2.439866666666666,11,56,283,472
Moonlight 1 - An Lạc Green Symphony,Không có,Không có,Hoài Đức,80.0,3.3,2.45452528837622,1.933083511777302,3.1035333333333357,5,30,72,269
Geleximco Southern Star,Giải Phóng,Giáp Bát,Hoàng Mai,62.0,1.8,2.45452528837622,2.0,1.998652039627041,7,22,39,131
KĐT Xa La,Xa La,Phúc La,Hà Đông,104.0,2.7,3.0,2.0,3.0400438095238114,8,81,257,235
Eco Lake View,Đại Từ,Đại Kim,Hoàng Mai,106.0,4.55,3.0,1.933083511777302,4.230766666666672,7,159,281,111
KĐT Định Công,Trần Điền,Định Công,Hoàng Mai,66.0,2.1,2.0,1.0,2.102041666666664,7,162,222,238
The Terra An Hưng,Không có,Dương Nội,Hà Đông,140.8,5.1,4.0,1.933083511777302,5.129138095238103,8,16,72,417
Newtatco Complex,Thiên Hiền,Mỹ Đình 2,Nam Từ Liêm,68.0,2.7,2.0,2.0,2.7802030158730133,11,59,188,304
Không có,Võ Chí Công,Xuân La,Tây Hồ,52.0,0.75,2.0,1.0,0.7723800000000002,16,141,240,221
Không có,Hào Nam,Ô Chợ Dừa,Đống Đa,52.0,0.7,2.0,1.0,0.7854600000000012,19,149,56,221
Mỹ Đình Plaza 2,Nguyễn Hoàng,Mỹ Đình 2,Nam Từ Liêm,70.0,3.2,2.0,2.0,3.1268999999999956,11,59,130,277
Hateco Laroma,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,80.0,5.6,2.0,1.933083511777302,5.594330000000009,19,44,51,169
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,76.0,3.6,2.0,2.0,3.577913636363637,11,12,54,471
Feliz Homes,Hoàng Mai,Hoàng Văn Thụ,Hoàng Mai,96.0,3.3,3.0,2.0,3.377950000000004,7,27,45,125
Iris Garden,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,135.0,5.0,3.0,2.0,4.662038501776003,11,56,210,206
Vinhomes Nguyễn Chí Thanh,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,86.0,5.5,2.0,1.933083511777302,5.435999999999999,19,43,125,474
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,84.0,2.35,2.0,2.0,2.3957442124542117,1,76,64,144
